selected_tau_track_fraction,selected_memory_column,baseline_test_rmse,augmented_test_rmse,fractional_test_improvement,permutation
0.05,memory_tau_0.05,0.28414664836272024,0.28100001712456946,0.011073969220759679,0
0.02,memory_tau_0.02,0.28414664836272024,0.28072793206527613,0.012031520755719198,1
0.05,memory_tau_0.05,0.28414664836272024,0.2810029705218202,0.011063575301747163,2
0.02,memory_tau_0.02,0.28414664836272024,0.28049631250507384,0.012846661675159576,3
0.05,memory_tau_0.05,0.28414664836272024,0.28097099110770546,0.011176120757760902,4
0.02,memory_tau_0.02,0.28414664836272024,0.28068970967270085,0.012166037185159852,5
0.05,memory_tau_0.05,0.28414664836272024,0.2810942799199191,0.010742229269249491,6
0.02,memory_tau_0.02,0.28414664836272024,0.2805211768570281,0.012759156325026019,7
0.02,memory_tau_0.02,0.28414664836272024,0.28071589220026105,0.012073892767088869,8
0.02,memory_tau_0.02,0.28414664836272024,0.2806280437590987,0.01238305862094821,9
0.02,memory_tau_0.02,0.28414664836272024,0.28055773015341945,0.012630513961647903,10
0.02,memory_tau_0.02,0.28414664836272024,0.28069778952631363,0.012137601679552652,11
0.02,memory_tau_0.02,0.28414664836272024,0.2807477836377722,0.01196165692797232,12
0.02,memory_tau_0.02,0.28414664836272024,0.28067916285596534,0.012203154697529906,13
0.02,memory_tau_0.02,0.28414664836272024,0.28065493109335526,0.012288433769972596,14
0.02,memory_tau_0.02,0.28414664836272024,0.28069316388250687,0.012153880751762087,15
0.02,memory_tau_0.02,0.28414664836272024,0.2806616426828147,0.01226481360940378,16
0.02,memory_tau_0.02,0.28414664836272024,0.2806958938899017,0.012144273010792612,17
0.02,memory_tau_0.02,0.28414664836272024,0.28072674836722356,0.012035686555525026,18
0.02,memory_tau_0.02,0.28414664836272024,0.2807982588071478,0.011784019184692709,19
0.02,memory_tau_0.02,0.28414664836272024,0.2806340731796419,0.012361839223929394,20
0.02,memory_tau_0.02,0.28414664836272024,0.28058438014291914,0.012536724400330697,21
0.02,memory_tau_0.02,0.28414664836272024,0.28052842438975517,0.012733650014221954,22
0.02,memory_tau_0.02,0.28414664836272024,0.28078028328664034,0.011847280604846881,23
0.02,memory_tau_0.02,0.28414664836272024,0.2807299528585705,0.012024408958673518,24
0.02,memory_tau_0.02,0.28414664836272024,0.2806189069129214,0.012415214010532999,25
0.02,memory_tau_0.02,0.28414664836272024,0.2805650028073397,0.012604919241589935,26
0.02,memory_tau_0.02,0.28414664836272024,0.2806227042859038,0.01240184987970733,27
0.02,memory_tau_0.02,0.28414664836272024,0.2805909968302246,0.012513438229814256,28
0.02,memory_tau_0.02,0.28414664836272024,0.2807052479960515,0.012111353016121807,29
0.02,memory_tau_0.02,0.28414664836272024,0.28072410139477877,0.012045002070805739,30
0.02,memory_tau_0.02,0.28414664836272024,0.28065319466534266,0.012294544797579663,31
0.02,memory_tau_0.02,0.28414664836272024,0.28066929931041873,0.012237867567111305,32
0.05,memory_tau_0.05,0.28414664836272024,0.2809804697456051,0.011142762497319521,33
0.02,memory_tau_0.02,0.28414664836272024,0.28076160021445834,0.01191303211833351,34
0.02,memory_tau_0.02,0.28414664836272024,0.28073019608192906,0.012023552980396222,35
0.05,memory_tau_0.05,0.28414664836272024,0.28088642483216125,0.01147373565496798,36
0.05,memory_tau_0.05,0.28414664836272024,0.281047681333978,0.010906224115606426,37
0.02,memory_tau_0.02,0.28414664836272024,0.280651422532394,0.012300781481907542,38
0.02,memory_tau_0.02,0.28414664836272024,0.28079287434051026,0.011802968789302107,39
