coordinate,window_width,residence_mode,metric,obs_slope,n_bins,n_perm,exceedances_negative,p_one_sided_negative,confirmatory_status,time_order_information
phi_bh,0.2,row,variance,-0.00757116081633695,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,row,mad2,-0.0018320905710048703,6,2000,4,0.0024987506246876563,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,row,iqr2,-0.029158606421193646,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,left_endpoint,variance,-0.007908133527755065,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,left_endpoint,mad2,-0.001917680807590154,6,2000,3,0.001999000499750125,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,left_endpoint,iqr2,-0.03128308046466258,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,right_endpoint,variance,-0.007650449020584875,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,right_endpoint,mad2,-0.002319730303671277,6,2000,2,0.0014992503748125937,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.2,right_endpoint,iqr2,-0.03159699052442784,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,row,variance,-0.011190148286171705,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,row,mad2,-0.01333561940850218,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,row,iqr2,-0.05311942887061046,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,left_endpoint,variance,-0.011067745049507915,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,left_endpoint,mad2,-0.014721149553602982,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,left_endpoint,iqr2,-0.055911526232303124,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,right_endpoint,variance,-0.011718505125632541,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,right_endpoint,mad2,-0.014300762747564493,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.3,right_endpoint,iqr2,-0.05509191664151132,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,row,variance,-0.012972502534614867,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,row,mad2,-0.0030367647387139975,6,2000,110,0.05547226386806597,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,row,iqr2,-0.03908565994347718,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,left_endpoint,variance,-0.013179095901084424,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,left_endpoint,mad2,-0.008810931272239551,6,2000,1,0.0009995002498750624,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,left_endpoint,iqr2,-0.03757003518187994,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,right_endpoint,variance,-0.013734264326956371,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,right_endpoint,mad2,-0.00999895386107072,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.4,right_endpoint,iqr2,-0.051037631034853224,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,row,variance,-0.013343769868534019,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,row,mad2,-0.003452199635844752,6,2000,401,0.20089955022488756,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,row,iqr2,-0.03768044782594529,6,2000,16,0.00849575212393803,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,left_endpoint,variance,-0.013123437817813529,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,left_endpoint,mad2,-0.004960056013435137,6,2000,129,0.06496751624187906,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,left_endpoint,iqr2,-0.03601714852625154,6,2000,11,0.005997001499250375,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,right_endpoint,variance,-0.01352414118755259,6,2000,0,0.0004997501249375312,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,right_endpoint,mad2,-0.004373421904621619,6,2000,260,0.13043478260869565,posthoc_sensitivity_only,none_occupancy_is_order_invariant
phi_bh,0.5,right_endpoint,iqr2,-0.045651877581374435,6,2000,1,0.0009995002498750624,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,row,variance,-0.00011245145898769621,6,2000,1976,0.9880059970014993,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,row,mad2,0.0008682635250544466,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,row,iqr2,-0.001201674622515862,6,2000,1985,0.992503748125937,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,left_endpoint,variance,-0.0004641821993609283,6,2000,1998,0.999000499750125,posthoc_sensitivity_only,none_occupancy_is_order_invariant
H_hat,0.2,left_endpoint,mad2,0.0011011972789656541,6,2000,2000,1.0,posthoc_sensitivity_only,none_occupancy_is_order_invariant
